Дата,Средняя температура
2018-06-30,25.09
2018-06-30,23.04
2018-06-30,17.02
2018-06-30,17.09
2018-06-29,20.02
2018-06-29,22.01
2018-06-29,24.0
2018-06-29,23.06
2018-06-29,20.01
2018-06-29,17.04
2018-06-29,14.04
2018-06-29,14.08
2018-06-28,16.06
2018-06-28,16.09
2018-06-28,20.08
2018-06-28,22.07
2018-06-28,19.05
2018-06-28,14.09
2018-06-28,14.08
2018-06-28,15.0
2018-06-27,15.05
2018-06-27,16.01
2018-06-27,18.06
2018-06-27,18.07
2018-06-27,16.01
2018-06-27,15.09
2018-06-27,14.03
2018-06-27,15.03
2018-06-26,15.08
2018-06-26,17.03
2018-06-26,21.07
2018-06-26,21.01
2018-06-26,20.07
2018-06-26,15.09
2018-06-26,13.06
2018-06-26,14.01
2018-06-25,15.06
2018-06-25,18.09
2018-06-25,22.03
2018-06-25,21.06
2018-06-25,22.01
2018-06-25,19.04
2018-06-25,12.02
2018-06-25,13.08
2018-06-24,13.08
2018-06-24,19.06
2018-06-24,24.06
2018-06-24,21.05
2018-06-24,23.09
2018-06-24,20.07
2018-06-24,13.07
2018-06-24,14.07
2018-06-23,16.09
2018-06-23,22.06
2018-06-23,24.06
2018-06-23,23.05
2018-06-23,22.06
2018-06-23,19.05
2018-06-23,12.06
2018-06-23,12.06
2018-06-22,15.08
2018-06-22,21.08
2018-06-22,22.04
2018-06-22,17.04
2018-06-22,20.08
2018-06-22,20.01
2018-06-22,19.01
2018-06-22,21.07
2018-06-21,21.06
2018-06-21,26.04
2018-06-21,30.06
2018-06-21,29.08
2018-06-21,27.04
2018-06-21,22.01
2018-06-21,14.07
2018-06-21,16.02
2018-06-20,19.04
2018-06-20,21.01
2018-06-20,21.0
2018-06-20,21.02
2018-06-20,22.06
2018-06-20,19.03
2018-06-20,13.02
2018-06-20,13.07
2018-06-19,15.08
2018-06-19,19.08
2018-06-19,22.04
2018-06-19,21.08
2018-06-19,19.01
2018-06-19,16.04
2018-06-19,10.09
2018-06-19,14.08
2018-06-18,17.08
2018-06-18,20.06
2018-06-18,24.03
2018-06-18,23.07
2018-06-18,20.09
2018-06-18,15.07
2018-06-18,12.03
2018-06-18,13.02
2018-06-17,15.04
2018-06-17,16.08
2018-06-17,17.06
2018-06-17,19.06
2018-06-17,19.06
2018-06-17,17.02
2018-06-17,12.06
2018-06-17,14.01
2018-06-16,15.06
2018-06-16,16.05
2018-06-16,20.08
2018-06-16,18.03
2018-06-16,15.05
2018-06-16,15.06
2018-06-16,15.03
2018-06-16,17.04
2018-06-15,20.02
2018-06-15,22.08
2018-06-15,26.08
2018-06-15,27.05
2018-06-15,24.08
2018-06-15,19.05
2018-06-15,14.09
2018-06-15,17.03
2018-06-14,18.07
2018-06-14,20.07
2018-06-14,22.07
2018-06-14,22.05
2018-06-14,18.03
2018-06-14,16.01
2018-06-14,8.0
2018-06-14,9.05
2018-06-13,8.09
2018-06-13,14.04
2018-06-13,17.05
2018-06-13,15.05
2018-06-13,18.01
2018-06-13,15.09
2018-06-13,10.02
2018-06-13,10.05
2018-06-12,13.07
2018-06-12,17.04
2018-06-12,19.07
2018-06-12,21.01
2018-06-12,21.0
2018-06-12,19.05
2018-06-12,16.07
2018-06-12,18.02
2018-06-11,20.04
2018-06-11,22.07
2018-06-11,25.04
2018-06-11,23.08
2018-06-11,22.01
2018-06-11,18.08
2018-06-11,13.03
2018-06-11,14.0
2018-06-10,15.05
2018-06-10,19.03
2018-06-10,20.08
2018-06-10,21.07
2018-06-10,19.07
2018-06-10,15.09
2018-06-10,9.03
2018-06-10,10.08
2018-06-09,11.06
2018-06-09,13.08
2018-06-09,17.0
2018-06-09,15.06
2018-06-09,14.01
2018-06-09,13.07
2018-06-09,11.02
2018-06-09,14.0
2018-06-08,15.02
2018-06-08,16.04
2018-06-08,22.09
2018-06-08,27.02
2018-06-08,23.05
2018-06-08,22.03
2018-06-08,18.01
2018-06-08,20.06
2018-06-07,24.02
2018-06-07,28.06
2018-06-07,31.2
2018-06-07,32.4
2018-06-07,28.0
2018-06-07,22.03
2018-06-07,19.0
2018-06-07,18.09
2018-06-06,20.09
2018-06-06,27.05
2018-06-06,30.06
2018-06-06,29.09
2018-06-06,29.0
2018-06-06,21.09
2018-06-06,17.08
2018-06-06,18.07
2018-06-05,20.0
2018-06-05,22.09
2018-06-05,26.01
2018-06-05,25.07
2018-06-05,24.07
2018-06-05,19.05
2018-06-05,13.05
2018-06-05,14.08
2018-06-04,16.06
2018-06-04,16.0
2018-06-04,20.06
2018-06-04,18.08
2018-06-04,15.08
2018-06-04,11.0
2018-06-04,6.09
2018-06-04,10.01
2018-06-03,12.02
2018-06-03,13.01
2018-06-03,13.07
2018-06-03,11.08
2018-06-03,9.07
2018-06-03,5.01
2018-06-03,4.08
2018-06-03,5.08
2018-06-02,7.07
2018-06-02,11.08
2018-06-02,15.09
2018-06-02,14.02
2018-06-02,17.05
2018-06-02,17.08
2018-06-02,16.07
2018-06-02,17.02
2018-06-01,19.06
2018-06-01,22.06
2018-06-01,25.02
2018-06-01,25.01
2018-06-01,22.07
2018-06-01,17.06
2018-06-01,12.09
2018-06-01,14.01
2018-05-31,16.02
2018-05-31,18.05
2018-05-31,20.03
2018-05-31,20.02
2018-05-31,14.09
2018-05-31,10.09
2018-05-31,5.01
2018-05-31,5.05
2018-05-30,8.04
2018-05-30,8.09
2018-05-30,8.05
2018-05-30,10.0
2018-05-30,11.04
2018-05-30,8.0
2018-05-30,6.06
2018-05-30,7.09
2018-05-29,9.08
2018-05-29,12.07
2018-05-29,16.05
2018-05-29,18.0
2018-05-29,14.09
2018-05-29,11.03
2018-05-29,11.01
2018-05-29,12.04
2018-05-28,13.05
2018-05-28,16.01
2018-05-28,19.06
2018-05-28,19.08
2018-05-28,15.07
2018-05-28,9.03
2018-05-28,-0.2
2018-05-28,1.01
2018-05-27,2.09
2018-05-27,2.05
2018-05-27,2.05
2018-05-27,2.07
2018-05-27,4.01
2018-05-27,5.07
2018-05-26,10.08
2018-05-26,22.09
2018-05-26,30.2
2018-05-26,29.05
2018-05-26,27.01
2018-05-26,21.02
2018-05-26,15.0
2018-05-26,16.02
2018-05-25,18.03
2018-05-25,20.03
2018-05-25,28.03
2018-05-25,27.04
2018-05-25,23.08
2018-05-25,17.01
2018-05-25,13.06
2018-05-25,15.07
2018-05-24,16.08
2018-05-24,17.0
2018-05-24,13.04
2018-05-24,15.05
2018-05-24,15.05
2018-05-24,10.06
2018-05-24,3.06
2018-05-24,3.05
2018-05-23,5.05
2018-05-23,10.01
2018-05-23,11.07
2018-05-23,9.04
2018-05-23,6.06
2018-05-23,5.08
2018-05-23,5.0
2018-05-23,9.0
2018-05-22,8.03
2018-05-22,10.08
2018-05-22,10.07
2018-05-22,12.04
2018-05-22,23.02
2018-05-22,19.06
2018-05-22,16.05
2018-05-22,16.04
2018-05-21,19.05
2018-05-21,23.03
2018-05-21,27.05
2018-05-21,26.07
2018-05-21,24.02
2018-05-21,18.0
2018-05-21,11.06
2018-05-21,13.04
2018-05-20,17.01
2018-05-20,19.08
2018-05-20,21.0
2018-05-20,20.01
2018-05-20,15.02
2018-05-20,9.08
2018-05-20,6.08
2018-05-20,7.05
2018-05-19,9.01
2018-05-19,11.02
2018-05-19,13.05
2018-05-19,11.07
2018-05-19,8.0
2018-05-19,3.08
2018-05-19,-0.3
2018-05-19,2.04
2018-05-18,6.01
2018-05-18,11.04
2018-05-18,17.09
2018-05-18,17.03
2018-05-18,13.04
2018-05-18,9.04
2018-05-18,3.02
2018-05-18,4.02
2018-05-17,5.06
2018-05-17,7.09
2018-05-17,9.01
2018-05-17,7.08
2018-05-17,5.06
2018-05-17,3.06
2018-05-17,2.05
2018-05-17,3.08
2018-05-16,4.04
2018-05-16,10.04
2018-05-16,16.07
2018-05-16,19.04
2018-05-16,18.01
2018-05-16,11.05
2018-05-16,6.01
2018-05-16,6.07
2018-05-15,7.06
2018-05-15,10.04
2018-05-15,12.03
2018-05-15,11.09
2018-05-15,9.04
2018-05-15,6.03
2018-05-15,6.03
2018-05-15,11.05
2018-05-14,11.02
2018-05-14,13.04
2018-05-14,15.05
2018-05-14,14.03
2018-05-14,11.08
2018-05-14,8.05
2018-05-14,0.9
2018-05-14,1.07
2018-05-13,4.05
2018-05-13,7.08
2018-05-13,8.04
2018-05-13,8.09
2018-05-13,6.09
2018-05-13,2.08
2018-05-13,1.08
2018-05-13,4.07
2018-05-12,10.05
2018-05-12,12.01
2018-05-12,12.06
2018-05-12,12.0
2018-05-12,10.01
2018-05-12,7.0
2018-05-12,4.07
2018-05-12,8.01
2018-05-11,9.07
2018-05-11,10.03
2018-05-11,12.04
2018-05-11,14.06
2018-05-11,13.04
2018-05-11,11.07
2018-05-11,12.06
2018-05-11,13.07
2018-05-10,15.01
2018-05-10,15.04
2018-05-10,17.06
2018-05-10,17.02
2018-05-10,13.0
2018-05-10,8.08
2018-05-10,4.04
2018-05-10,5.03
2018-05-09,7.01
2018-05-09,8.08
2018-05-09,11.07
2018-05-09,10.07
2018-05-09,8.05
2018-05-09,4.03
2018-05-09,4.0
2018-05-09,5.04
2018-05-08,7.02
2018-05-08,10.06
2018-05-08,13.07
2018-05-08,15.02
2018-05-08,13.07
2018-05-08,8.09
2018-05-08,7.05
2018-05-08,7.06
2018-05-07,9.04
2018-05-07,9.07
2018-05-07,9.07
2018-05-07,9.01
2018-05-07,8.07
2018-05-07,5.05
2018-05-07,1.05
2018-05-07,1.09
2018-05-06,3.0
2018-05-06,4.05
2018-05-06,5.05
2018-05-06,4.07
2018-05-06,0.3
2018-05-06,-1.2
2018-05-06,-1.7
2018-05-06,0.1
2018-05-05,1.08
2018-05-05,2.04
2018-05-05,4.01
2018-05-05,5.0
2018-05-05,4.09
2018-05-05,3.01
2018-05-05,3.05
2018-05-05,8.07
2018-05-04,12.09
2018-05-04,16.09
2018-05-04,24.01
2018-05-04,23.08
2018-05-04,20.03
2018-05-04,11.01
2018-05-04,8.06
2018-05-04,8.06
2018-05-03,8.07
2018-05-03,8.04
2018-05-03,8.09
2018-05-03,10.06
2018-05-03,11.06
2018-05-03,8.05
2018-05-03,4.03
2018-05-03,3.09
2018-05-02,4.04
2018-05-02,7.01
2018-05-02,6.05
2018-05-02,7.07
2018-05-02,5.09
2018-05-02,3.07
2018-05-02,6.06
2018-05-02,5.06
2018-05-01,6.06
2018-05-01,10.02
2018-05-01,11.06
2018-05-01,10.04
2018-05-01,8.05
2018-05-01,7.04
2018-05-01,2.09
2018-05-01,5.0
2018-04-30,8.0
2018-04-30,13.04
2018-04-30,16.0
2018-04-30,16.05
2018-04-30,10.09
2018-04-30,8.01
2018-04-30,12.04
2018-04-30,15.03
